
file1     file2
---------------------------------------
    x      x    /              
    x      x    /big           

group  : </> and </>
0 differences found
dataset: </big> and </big>
size:           [1073741824]           [1073741824]
[ 268435513 ]          31              0               31             
[ 268435514 ]          31              0               31             
[ 268435515 ]          31              0               31             
[ 268435516 ]          31              0               31             
[ 268435517 ]          31              0               31             
[ 268435518 ]          31              0               31             
[ 268435519 ]          31              0               31             
[ 268435520 ]          31              0               31             
[ 268435521 ]          31              0               31             
[ 268435522 ]          31              0               31             
[ 268435523 ]          31              0               31             
[ 268435524 ]          31              0               31             
[ 268435525 ]          31              0               31             
[ 268435526 ]          31              0               31             
[ 268435527 ]          31              0               31             
[ 268435528 ]          31              0               31             
[ 268435529 ]          31              0               31             
[ 268435530 ]          31              0               31             
[ 268435531 ]          31              0               31             
[ 268435532 ]          31              0               31             
[ 268435533 ]          31              0               31             
[ 268435534 ]          31              0               31             
[ 268435535 ]          31              0               31             
[ 268435536 ]          31              0               31             
[ 268435537 ]          31              0               31             
[ 268435538 ]          31              0               31             
[ 268435539 ]          31              0               31             
[ 268435540 ]          31              0               31             
[ 268435541 ]          31              0               31             
[ 268435542 ]          31              0               31             
[ 268435543 ]          31              0               31             
[ 268435544 ]          31              0               31             
[ 268435545 ]          31              0               31             
[ 268435546 ]          31              0               31             
[ 268435547 ]          31              0               31             
[ 268435548 ]          31              0               31             
[ 268435549 ]          31              0               31             
[ 268435550 ]          31              0               31             
[ 268435551 ]          31              0               31             
[ 268435552 ]          31              0               31             
[ 268435553 ]          31              0               31             
[ 268435554 ]          31              0               31             
[ 268435555 ]          31              0               31             
[ 268435556 ]          31              0               31             
[ 268435557 ]          31              0               31             
[ 268435558 ]          31              0               31             
[ 268435559 ]          31              0               31             
[ 268435560 ]          31              0               31             
[ 268435561 ]          31              0               31             
[ 268435562 ]          31              0               31             
[ 268435563 ]          31              0               31             
[ 268435564 ]          31              0               31             
[ 268435565 ]          31              0               31             
[ 268435566 ]          31              0               31             
[ 268435567 ]          31              0               31             
[ 268435568 ]          31              0               31             
[ 268435569 ]          31              0               31             
[ 268435570 ]          31              0               31             
[ 268435571 ]          31              0               31             
[ 268435572 ]          31              0               31             
[ 268435573 ]          31              0               31             
[ 268435574 ]          31              0               31             
[ 268435575 ]          31              0               31             
[ 268435576 ]          31              0               31             
[ 268435577 ]          31              0               31             
[ 268435578 ]          31              0               31             
[ 268435579 ]          31              0               31             
[ 268435580 ]          31              0               31             
[ 268435581 ]          31              0               31             
[ 268435582 ]          31              0               31             
[ 268435583 ]          31              0               31             
[ 268435584 ]          31              0               31             
[ 268435585 ]          31              0               31             
[ 268435586 ]          31              0               31             
[ 268435587 ]          31              0               31             
[ 268435588 ]          31              0               31             
[ 268435589 ]          31              0               31             
[ 268435590 ]          31              0               31             
[ 268435591 ]          31              0               31             
[ 268435592 ]          31              0               31             
[ 268435593 ]          31              0               31             
[ 268435594 ]          31              0               31             
[ 268435595 ]          31              0               31             
[ 268435596 ]          31              0               31             
[ 268435597 ]          31              0               31             
[ 268435598 ]          31              0               31             
[ 268435599 ]          31              0               31             
[ 268435600 ]          31              0               31             
[ 268435601 ]          31              0               31             
[ 268435602 ]          31              0               31             
[ 268435603 ]          31              0               31             
[ 268435604 ]          31              0               31             
[ 268435605 ]          31              0               31             
[ 268435606 ]          31              0               31             
[ 268435607 ]          31              0               31             
[ 268435608 ]          31              0               31             
[ 268435609 ]          31              0               31             
[ 268435610 ]          31              0               31             
[ 268435611 ]          31              0               31             
[ 268435612 ]          31              0               31             
[ 268435613 ]          31              0               31             
[ 268435614 ]          31              0               31             
[ 268435615 ]          31              0               31             
[ 268435616 ]          31              0               31             
[ 268435617 ]          31              0               31             
[ 268435618 ]          31              0               31             
[ 268435619 ]          31              0               31             
[ 268435620 ]          31              0               31             
[ 268435621 ]          31              0               31             
[ 268435622 ]          31              0               31             
[ 268435623 ]          31              0               31             
[ 268435624 ]          31              0               31             
[ 268435625 ]          31              0               31             
[ 268435626 ]          31              0               31             
[ 268435627 ]          31              0               31             
[ 268435628 ]          31              0               31             
[ 268435629 ]          31              0               31             
[ 268435630 ]          31              0               31             
[ 268435631 ]          31              0               31             
[ 268435632 ]          31              0               31             
[ 268435633 ]          31              0               31             
[ 268435634 ]          31              0               31             
[ 268435635 ]          31              0               31             
[ 268435636 ]          31              0               31             
[ 268435637 ]          31              0               31             
[ 268435638 ]          31              0               31             
[ 268435639 ]          31              0               31             
[ 268435640 ]          31              0               31             
[ 268435641 ]          31              0               31             
[ 268435642 ]          31              0               31             
[ 268435643 ]          31              0               31             
[ 268435644 ]          31              0               31             
[ 268435645 ]          31              0               31             
[ 268435646 ]          31              0               31             
[ 268435647 ]          31              0               31             
[ 268435648 ]          31              0               31             
[ 268435649 ]          31              0               31             
[ 268435650 ]          31              0               31             
[ 268435651 ]          31              0               31             
[ 268435652 ]          31              0               31             
[ 268435653 ]          31              0               31             
[ 268435654 ]          31              0               31             
[ 268435655 ]          31              0               31             
[ 268435656 ]          31              0               31             
[ 268435657 ]          31              0               31             
[ 268435658 ]          31              0               31             
[ 268435659 ]          31              0               31             
[ 268435660 ]          31              0               31             
[ 268435661 ]          31              0               31             
[ 268435662 ]          31              0               31             
[ 268435663 ]          31              0               31             
[ 268435664 ]          31              0               31             
[ 268435665 ]          31              0               31             
[ 268435666 ]          31              0               31             
[ 268435667 ]          31              0               31             
[ 268435668 ]          31              0               31             
[ 268435669 ]          31              0               31             
[ 268435670 ]          31              0               31             
[ 268435671 ]          31              0               31             
[ 268435672 ]          31              0               31             
[ 268435673 ]          31              0               31             
[ 268435674 ]          31              0               31             
[ 268435675 ]          31              0               31             
[ 268435676 ]          31              0               31             
[ 268435677 ]          31              0               31             
[ 268435678 ]          31              0               31             
[ 268435679 ]          31              0               31             
[ 268435680 ]          31              0               31             
[ 268435681 ]          31              0               31             
[ 268435682 ]          31              0               31             
[ 268435683 ]          31              0               31             
[ 268435684 ]          31              0               31             
[ 268435685 ]          31              0               31             
[ 268435686 ]          31              0               31             
[ 268435687 ]          31              0               31             
[ 268435688 ]          31              0               31             
[ 268435689 ]          31              0               31             
[ 268435690 ]          31              0               31             
[ 268435691 ]          31              0               31             
[ 268435692 ]          31              0               31             
[ 268435693 ]          31              0               31             
[ 268435694 ]          31              0               31             
[ 268435695 ]          31              0               31             
[ 268435696 ]          31              0               31             
[ 268435697 ]          31              0               31             
[ 268435698 ]          31              0               31             
[ 268435699 ]          31              0               31             
[ 268435700 ]          31              0               31             
[ 268435701 ]          31              0               31             
[ 268435702 ]          31              0               31             
[ 268435703 ]          31              0               31             
[ 268435704 ]          31              0               31             
[ 268435705 ]          31              0               31             
[ 268435706 ]          31              0               31             
[ 268435707 ]          31              0               31             
[ 268435708 ]          31              0               31             
[ 268435709 ]          31              0               31             
[ 268435710 ]          31              0               31             
[ 268435711 ]          31              0               31             
[ 268435712 ]          31              0               31             
[ 268435713 ]          31              0               31             
[ 268435714 ]          31              0               31             
[ 268435715 ]          31              0               31             
[ 268435716 ]          31              0               31             
[ 268435717 ]          31              0               31             
[ 268435718 ]          31              0               31             
[ 268435719 ]          31              0               31             
[ 268435720 ]          31              0               31             
[ 268435721 ]          31              0               31             
[ 268435722 ]          31              0               31             
[ 268435723 ]          31              0               31             
[ 268435724 ]          31              0               31             
[ 268435725 ]          31              0               31             
[ 268435726 ]          31              0               31             
[ 268435727 ]          31              0               31             
[ 268435728 ]          31              0               31             
[ 268435729 ]          31              0               31             
[ 268435730 ]          31              0               31             
[ 268435731 ]          31              0               31             
[ 268435732 ]          31              0               31             
[ 268435733 ]          31              0               31             
[ 268435734 ]          31              0               31             
[ 268435735 ]          31              0               31             
[ 268435736 ]          31              0               31             
[ 268435737 ]          31              0               31             
[ 268435738 ]          31              0               31             
[ 268435739 ]          31              0               31             
[ 268435740 ]          31              0               31             
[ 268435741 ]          31              0               31             
[ 268435742 ]          31              0               31             
[ 268435743 ]          31              0               31             
[ 268435744 ]          31              0               31             
[ 268435745 ]          31              0               31             
[ 268435746 ]          31              0               31             
[ 268435747 ]          31              0               31             
[ 268435748 ]          31              0               31             
[ 268435749 ]          31              0               31             
[ 268435750 ]          31              0               31             
[ 268435751 ]          31              0               31             
[ 268435752 ]          31              0               31             
[ 268435753 ]          31              0               31             
[ 268435754 ]          31              0               31             
[ 268435755 ]          31              0               31             
[ 268435756 ]          31              0               31             
[ 268435757 ]          31              0               31             
[ 268435758 ]          31              0               31             
[ 268435759 ]          31              0               31             
[ 268435760 ]          31              0               31             
[ 268435761 ]          31              0               31             
[ 268435762 ]          31              0               31             
[ 268435763 ]          31              0               31             
[ 268435764 ]          31              0               31             
[ 268435765 ]          31              0               31             
[ 268435766 ]          31              0               31             
[ 268435767 ]          31              0               31             
[ 268435768 ]          31              0               31             
[ 268435769 ]          31              0               31             
[ 268435770 ]          31              0               31             
[ 268435771 ]          31              0               31             
[ 268435772 ]          31              0               31             
[ 268435773 ]          31              0               31             
[ 268435774 ]          31              0               31             
[ 268435775 ]          31              0               31             
[ 268435776 ]          31              0               31             
[ 268435777 ]          31              0               31             
[ 268435778 ]          31              0               31             
[ 268435779 ]          31              0               31             
[ 268435780 ]          31              0               31             
[ 268435781 ]          31              0               31             
[ 268435782 ]          31              0               31             
[ 268435783 ]          31              0               31             
[ 268435784 ]          31              0               31             
[ 268435785 ]          31              0               31             
[ 268435786 ]          31              0               31             
[ 268435787 ]          31              0               31             
[ 268435788 ]          31              0               31             
[ 268435789 ]          31              0               31             
[ 268435790 ]          31              0               31             
[ 268435791 ]          31              0               31             
[ 268435792 ]          31              0               31             
[ 268435793 ]          31              0               31             
[ 268435794 ]          31              0               31             
[ 268435795 ]          31              0               31             
[ 268435796 ]          31              0               31             
[ 268435797 ]          31              0               31             
[ 268435798 ]          31              0               31             
[ 268435799 ]          31              0               31             
[ 268435800 ]          31              0               31             
[ 268435801 ]          31              0               31             
[ 268435802 ]          31              0               31             
[ 268435803 ]          31              0               31             
[ 268435804 ]          31              0               31             
[ 268435805 ]          31              0               31             
[ 268435806 ]          31              0               31             
[ 268435807 ]          31              0               31             
[ 268435808 ]          31              0               31             
[ 268435809 ]          31              0               31             
[ 268435810 ]          31              0               31             
[ 268435811 ]          31              0               31             
[ 268435812 ]          31              0               31             
[ 268435813 ]          31              0               31             
[ 268435814 ]          31              0               31             
[ 268435815 ]          31              0               31             
[ 268435816 ]          31              0               31             
[ 268435817 ]          31              0               31             
[ 268435818 ]          31              0               31             
[ 268435819 ]          31              0               31             
[ 268435820 ]          31              0               31             
[ 268435821 ]          31              0               31             
[ 268435822 ]          31              0               31             
[ 268435823 ]          31              0               31             
[ 268435824 ]          31              0               31             
[ 268435825 ]          31              0               31             
[ 268435826 ]          31              0               31             
[ 268435827 ]          31              0               31             
[ 268435828 ]          31              0               31             
[ 268435829 ]          31              0               31             
[ 268435830 ]          31              0               31             
[ 268435831 ]          31              0               31             
[ 268435832 ]          31              0               31             
[ 268435833 ]          31              0               31             
[ 268435834 ]          31              0               31             
[ 268435835 ]          31              0               31             
[ 268435836 ]          31              0               31             
[ 268435837 ]          31              0               31             
[ 268435838 ]          31              0               31             
[ 268435839 ]          31              0               31             
[ 268435840 ]          31              0               31             
[ 268435841 ]          31              0               31             
[ 268435842 ]          31              0               31             
[ 268435843 ]          31              0               31             
[ 268435844 ]          31              0               31             
[ 268435845 ]          31              0               31             
[ 268435846 ]          31              0               31             
[ 268435847 ]          31              0               31             
[ 268435848 ]          31              0               31             
[ 268435849 ]          31              0               31             
[ 268435850 ]          31              0               31             
[ 268435851 ]          31              0               31             
[ 268435852 ]          31              0               31             
[ 268435853 ]          31              0               31             
[ 268435854 ]          31              0               31             
[ 268435855 ]          31              0               31             
[ 268435856 ]          31              0               31             
[ 268435857 ]          31              0               31             
[ 268435858 ]          31              0               31             
[ 268435859 ]          31              0               31             
[ 268435860 ]          31              0               31             
[ 268435861 ]          31              0               31             
[ 268435862 ]          31              0               31             
[ 268435863 ]          31              0               31             
[ 268435864 ]          31              0               31             
[ 268435865 ]          31              0               31             
[ 268435866 ]          31              0               31             
[ 268435867 ]          31              0               31             
[ 268435868 ]          31              0               31             
[ 268435869 ]          31              0               31             
[ 268435870 ]          31              0               31             
[ 268435871 ]          31              0               31             
[ 268435872 ]          31              0               31             
[ 268435873 ]          31              0               31             
[ 268435874 ]          31              0               31             
[ 268435875 ]          31              0               31             
[ 268435876 ]          31              0               31             
[ 268435877 ]          31              0               31             
[ 268435878 ]          31              0               31             
[ 268435879 ]          31              0               31             
[ 268435880 ]          31              0               31             
[ 268435881 ]          31              0               31             
[ 268435882 ]          31              0               31             
[ 268435883 ]          31              0               31             
[ 268435884 ]          31              0               31             
[ 268435885 ]          31              0               31             
[ 268435886 ]          31              0               31             
[ 268435887 ]          31              0               31             
[ 268435888 ]          31              0               31             
[ 268435889 ]          31              0               31             
[ 268435890 ]          31              0               31             
[ 268435891 ]          31              0               31             
[ 268435892 ]          31              0               31             
[ 268435893 ]          31              0               31             
[ 268435894 ]          31              0               31             
[ 268435895 ]          31              0               31             
[ 268435896 ]          31              0               31             
[ 268435897 ]          31              0               31             
[ 268435898 ]          31              0               31             
[ 268435899 ]          31              0               31             
[ 268435900 ]          31              0               31             
[ 268435901 ]          31              0               31             
[ 268435902 ]          31              0               31             
[ 268435903 ]          31              0               31             
[ 268435904 ]          31              0               31             
[ 268435905 ]          31              0               31             
[ 268435906 ]          31              0               31             
[ 268435907 ]          31              0               31             
[ 268435908 ]          31              0               31             
[ 268435909 ]          31              0               31             
[ 268435910 ]          31              0               31             
[ 268435911 ]          31              0               31             
[ 268435912 ]          31              0               31             
[ 268435913 ]          31              0               31             
[ 268435914 ]          31              0               31             
[ 268435915 ]          31              0               31             
[ 268435916 ]          31              0               31             
[ 268435917 ]          31              0               31             
[ 268435918 ]          31              0               31             
[ 268435919 ]          31              0               31             
[ 268435920 ]          31              0               31             
[ 268435921 ]          31              0               31             
[ 268435922 ]          31              0               31             
[ 268435923 ]          31              0               31             
[ 268435924 ]          31              0               31             
[ 268435925 ]          31              0               31             
[ 268435926 ]          31              0               31             
[ 268435927 ]          31              0               31             
[ 268435928 ]          31              0               31             
[ 268435929 ]          31              0               31             
[ 268435930 ]          31              0               31             
[ 268435931 ]          31              0               31             
[ 268435932 ]          31              0               31             
[ 268435933 ]          31              0               31             
[ 268435934 ]          31              0               31             
[ 268435935 ]          31              0               31             
[ 268435936 ]          31              0               31             
[ 268435937 ]          31              0               31             
[ 268435938 ]          31              0               31             
[ 268435939 ]          31              0               31             
[ 268435940 ]          31              0               31             
[ 268435941 ]          31              0               31             
[ 268435942 ]          31              0               31             
[ 268435943 ]          31              0               31             
[ 268435944 ]          31              0               31             
[ 268435945 ]          31              0               31             
[ 268435946 ]          31              0               31             
[ 268435947 ]          31              0               31             
[ 268435948 ]          31              0               31             
[ 268435949 ]          31              0               31             
[ 268435950 ]          31              0               31             
[ 268435951 ]          31              0               31             
[ 268435952 ]          31              0               31             
[ 268435953 ]          31              0               31             
[ 268435954 ]          31              0               31             
[ 268435955 ]          31              0               31             
[ 268435956 ]          31              0               31             
[ 268435957 ]          31              0               31             
[ 268435958 ]          31              0               31             
[ 268435959 ]          31              0               31             
[ 268435960 ]          31              0               31             
[ 268435961 ]          31              0               31             
[ 268435962 ]          31              0               31             
[ 268435963 ]          31              0               31             
[ 268435964 ]          31              0               31             
[ 268435965 ]          31              0               31             
[ 268435966 ]          31              0               31             
[ 268435967 ]          31              0               31             
[ 268435968 ]          31              0               31             
[ 268435969 ]          31              0               31             
[ 268435970 ]          31              0               31             
[ 268435971 ]          31              0               31             
[ 268435972 ]          31              0               31             
[ 268435973 ]          31              0               31             
[ 268435974 ]          31              0               31             
[ 268435975 ]          31              0               31             
[ 268435976 ]          31              0               31             
[ 268435977 ]          31              0               31             
[ 268435978 ]          31              0               31             
[ 268435979 ]          31              0               31             
[ 268435980 ]          31              0               31             
[ 268435981 ]          31              0               31             
[ 268435982 ]          31              0               31             
[ 268435983 ]          31              0               31             
[ 268435984 ]          31              0               31             
[ 268435985 ]          31              0               31             
[ 268435986 ]          31              0               31             
[ 268435987 ]          31              0               31             
[ 268435988 ]          31              0               31             
[ 268435989 ]          31              0               31             
[ 268435990 ]          31              0               31             
[ 268435991 ]          31              0               31             
[ 268435992 ]          31              0               31             
[ 268435993 ]          31              0               31             
[ 268435994 ]          31              0               31             
[ 268435995 ]          31              0               31             
[ 268435996 ]          31              0               31             
[ 268435997 ]          31              0               31             
[ 268435998 ]          31              0               31             
[ 268435999 ]          31              0               31             
[ 268436000 ]          31              0               31             
[ 268436001 ]          31              0               31             
[ 268436002 ]          31              0               31             
[ 268436003 ]          31              0               31             
[ 268436004 ]          31              0               31             
[ 268436005 ]          31              0               31             
[ 268436006 ]          31              0               31             
[ 268436007 ]          31              0               31             
[ 268436008 ]          31              0               31             
[ 268436009 ]          31              0               31             
[ 268436010 ]          31              0               31             
[ 268436011 ]          31              0               31             
[ 268436012 ]          31              0               31             
[ 268436013 ]          31              0               31             
[ 268436014 ]          31              0               31             
[ 268436015 ]          31              0               31             
[ 268436016 ]          31              0               31             
[ 268436017 ]          31              0               31             
[ 268436018 ]          31              0               31             
[ 268436019 ]          31              0               31             
[ 268436020 ]          31              0               31             
[ 268436021 ]          31              0               31             
[ 268436022 ]          31              0               31             
[ 268436023 ]          31              0               31             
[ 268436024 ]          31              0               31             
[ 268436025 ]          31              0               31             
[ 268436026 ]          31              0               31             
[ 268436027 ]          31              0               31             
[ 268436028 ]          31              0               31             
[ 268436029 ]          31              0               31             
[ 268436030 ]          31              0               31             
[ 268436031 ]          31              0               31             
[ 268436032 ]          31              0               31             
[ 268436033 ]          31              0               31             
[ 268436034 ]          31              0               31             
[ 268436035 ]          31              0               31             
[ 268436036 ]          31              0               31             
[ 268436037 ]          31              0               31             
[ 268436038 ]          31              0               31             
[ 268436039 ]          31              0               31             
[ 268436040 ]          31              0               31             
[ 268436041 ]          31              0               31             
[ 268436042 ]          31              0               31             
[ 268436043 ]          31              0               31             
[ 268436044 ]          31              0               31             
[ 268436045 ]          31              0               31             
[ 268436046 ]          31              0               31             
[ 268436047 ]          31              0               31             
[ 268436048 ]          31              0               31             
[ 268436049 ]          31              0               31             
[ 268436050 ]          31              0               31             
[ 268436051 ]          31              0               31             
[ 268436052 ]          31              0               31             
[ 268436053 ]          31              0               31             
[ 268436054 ]          31              0               31             
[ 268436055 ]          31              0               31             
[ 268436056 ]          31              0               31             
[ 268436057 ]          31              0               31             
[ 268436058 ]          31              0               31             
[ 268436059 ]          31              0               31             
[ 268436060 ]          31              0               31             
[ 268436061 ]          31              0               31             
[ 268436062 ]          31              0               31             
[ 268436063 ]          31              0               31             
[ 268436064 ]          31              0               31             
[ 268436065 ]          31              0               31             
[ 268436066 ]          31              0               31             
[ 268436067 ]          31              0               31             
[ 268436068 ]          31              0               31             
[ 268436069 ]          31              0               31             
[ 268436070 ]          31              0               31             
[ 268436071 ]          31              0               31             
[ 268436072 ]          31              0               31             
[ 268436073 ]          31              0               31             
[ 268436074 ]          31              0               31             
[ 268436075 ]          31              0               31             
[ 268436076 ]          31              0               31             
[ 268436077 ]          31              0               31             
[ 268436078 ]          31              0               31             
[ 268436079 ]          31              0               31             
[ 268436080 ]          31              0               31             
[ 268436081 ]          31              0               31             
[ 268436082 ]          31              0               31             
[ 268436083 ]          31              0               31             
[ 268436084 ]          31              0               31             
[ 268436085 ]          31              0               31             
[ 268436086 ]          31              0               31             
[ 268436087 ]          31              0               31             
[ 268436088 ]          31              0               31             
[ 268436089 ]          31              0               31             
[ 268436090 ]          31              0               31             
[ 268436091 ]          31              0               31             
[ 268436092 ]          31              0               31             
[ 268436093 ]          31              0               31             
[ 268436094 ]          31              0               31             
[ 268436095 ]          31              0               31             
[ 268436096 ]          31              0               31             
[ 268436097 ]          31              0               31             
[ 268436098 ]          31              0               31             
[ 268436099 ]          31              0               31             
[ 268436100 ]          31              0               31             
[ 268436101 ]          31              0               31             
[ 268436102 ]          31              0               31             
[ 268436103 ]          31              0               31             
[ 268436104 ]          31              0               31             
[ 268436105 ]          31              0               31             
[ 268436106 ]          31              0               31             
[ 268436107 ]          31              0               31             
[ 268436108 ]          31              0               31             
[ 268436109 ]          31              0               31             
[ 268436110 ]          31              0               31             
[ 268436111 ]          31              0               31             
[ 268436112 ]          31              0               31             
[ 268436113 ]          31              0               31             
[ 268436114 ]          31              0               31             
[ 268436115 ]          31              0               31             
[ 268436116 ]          31              0               31             
[ 268436117 ]          31              0               31             
[ 268436118 ]          31              0               31             
[ 268436119 ]          31              0               31             
[ 268436120 ]          31              0               31             
[ 268436121 ]          31              0               31             
[ 268436122 ]          31              0               31             
[ 268436123 ]          31              0               31             
[ 268436124 ]          31              0               31             
[ 268436125 ]          31              0               31             
[ 268436126 ]          31              0               31             
[ 268436127 ]          31              0               31             
[ 268436128 ]          31              0               31             
[ 268436129 ]          31              0               31             
[ 268436130 ]          31              0               31             
[ 268436131 ]          31              0               31             
[ 268436132 ]          31              0               31             
[ 268436133 ]          31              0               31             
[ 268436134 ]          31              0               31             
[ 268436135 ]          31              0               31             
[ 268436136 ]          31              0               31             
[ 268436137 ]          31              0               31             
[ 268436138 ]          31              0               31             
[ 268436139 ]          31              0               31             
[ 268436140 ]          31              0               31             
[ 268436141 ]          31              0               31             
[ 268436142 ]          31              0               31             
[ 268436143 ]          31              0               31             
[ 268436144 ]          31              0               31             
[ 268436145 ]          31              0               31             
[ 268436146 ]          31              0               31             
[ 268436147 ]          31              0               31             
[ 268436148 ]          31              0               31             
[ 268436149 ]          31              0               31             
[ 268436150 ]          31              0               31             
[ 268436151 ]          31              0               31             
[ 268436152 ]          31              0               31             
[ 268436153 ]          31              0               31             
[ 268436154 ]          31              0               31             
[ 268436155 ]          31              0               31             
[ 268436156 ]          31              0               31             
[ 268436157 ]          31              0               31             
[ 268436158 ]          31              0               31             
[ 268436159 ]          31              0               31             
[ 268436160 ]          31              0               31             
[ 268436161 ]          31              0               31             
[ 268436162 ]          31              0               31             
[ 268436163 ]          31              0               31             
[ 268436164 ]          31              0               31             
[ 268436165 ]          31              0               31             
[ 268436166 ]          31              0               31             
[ 268436167 ]          31              0               31             
[ 268436168 ]          31              0               31             
[ 268436169 ]          31              0               31             
[ 268436170 ]          31              0               31             
[ 268436171 ]          31              0               31             
[ 268436172 ]          31              0               31             
[ 268436173 ]          31              0               31             
[ 268436174 ]          31              0               31             
[ 268436175 ]          31              0               31             
[ 268436176 ]          31              0               31             
[ 268436177 ]          31              0               31             
[ 268436178 ]          31              0               31             
[ 268436179 ]          31              0               31             
[ 268436180 ]          31              0               31             
[ 268436181 ]          31              0               31             
[ 268436182 ]          31              0               31             
[ 268436183 ]          31              0               31             
[ 268436184 ]          31              0               31             
[ 268436185 ]          31              0               31             
[ 268436186 ]          31              0               31             
[ 268436187 ]          31              0               31             
[ 268436188 ]          31              0               31             
[ 268436189 ]          31              0               31             
[ 268436190 ]          31              0               31             
[ 268436191 ]          31              0               31             
[ 268436192 ]          31              0               31             
[ 268436193 ]          31              0               31             
[ 268436194 ]          31              0               31             
[ 268436195 ]          31              0               31             
[ 268436196 ]          31              0               31             
[ 268436197 ]          31              0               31             
[ 268436198 ]          31              0               31             
[ 268436199 ]          31              0               31             
[ 268436200 ]          31              0               31             
[ 268436201 ]          31              0               31             
[ 268436202 ]          31              0               31             
[ 268436203 ]          31              0               31             
[ 268436204 ]          31              0               31             
[ 268436205 ]          31              0               31             
[ 268436206 ]          31              0               31             
[ 268436207 ]          31              0               31             
[ 268436208 ]          31              0               31             
[ 268436209 ]          31              0               31             
[ 268436210 ]          31              0               31             
[ 268436211 ]          31              0               31             
[ 268436212 ]          31              0               31             
[ 268436213 ]          31              0               31             
[ 268436214 ]          31              0               31             
[ 268436215 ]          31              0               31             
[ 268436216 ]          31              0               31             
[ 268436217 ]          31              0               31             
[ 268436218 ]          31              0               31             
[ 268436219 ]          31              0               31             
[ 268436220 ]          31              0               31             
[ 268436221 ]          31              0               31             
[ 268436222 ]          31              0               31             
[ 268436223 ]          31              0               31             
[ 268436224 ]          31              0               31             
[ 268436225 ]          31              0               31             
[ 268436226 ]          31              0               31             
[ 268436227 ]          31              0               31             
[ 268436228 ]          31              0               31             
[ 268436229 ]          31              0               31             
[ 268436230 ]          31              0               31             
[ 268436231 ]          31              0               31             
[ 268436232 ]          31              0               31             
[ 268436233 ]          31              0               31             
[ 268436234 ]          31              0               31             
[ 268436235 ]          31              0               31             
[ 268436236 ]          31              0               31             
[ 268436237 ]          31              0               31             
[ 268436238 ]          31              0               31             
[ 268436239 ]          31              0               31             
[ 268436240 ]          31              0               31             
[ 268436241 ]          31              0               31             
[ 268436242 ]          31              0               31             
[ 268436243 ]          31              0               31             
[ 268436244 ]          31              0               31             
[ 268436245 ]          31              0               31             
[ 268436246 ]          31              0               31             
[ 268436247 ]          31              0               31             
[ 268436248 ]          31              0               31             
[ 268436249 ]          31              0               31             
[ 268436250 ]          31              0               31             
[ 268436251 ]          31              0               31             
[ 268436252 ]          31              0               31             
[ 268436253 ]          31              0               31             
[ 268436254 ]          31              0               31             
[ 268436255 ]          31              0               31             
[ 268436256 ]          31              0               31             
[ 268436257 ]          31              0               31             
[ 268436258 ]          31              0               31             
[ 268436259 ]          31              0               31             
[ 268436260 ]          31              0               31             
[ 268436261 ]          31              0               31             
[ 268436262 ]          31              0               31             
[ 268436263 ]          31              0               31             
[ 268436264 ]          31              0               31             
[ 268436265 ]          31              0               31             
[ 268436266 ]          31              0               31             
[ 268436267 ]          31              0               31             
[ 268436268 ]          31              0               31             
